"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"1",478,1,5.79117744421676,0.0804977848457479,5.07158229501876,"478_1"
"2",478,2,5.11926239423598,0.0670063279658362,4.95347534193754,"478_2"
"3",478,3,4.75090646213448,0.0706264503092491,5.09430415409665,"478_3"
"4",478,4,7.28986145857989,0.109652461124542,5.11986349859632,"478_4"
"5",478,5,5.34627073887497,0.0917155845532538,5.36003325116506,"478_5"
"6",479,1,6.22712085651644,0.0957627528168821,5.13679537520967,"479_1"
"7",479,2,5.0780748090859,0.0745025070297805,5.11596087939395,"479_2"
"8",479,3,4.81879905937126,0.0974449420663916,4.89491808139618,"479_3"
"9",479,4,6.87067147841921,0.104978343891113,5.02668735420838,"479_4"
"10",479,5,5.13202042090195,0.0774222201142163,4.99710393200497,"479_5"
"11",480,1,5.89754592574711,0.0754243065130917,5.26027198269996,"480_1"
"12",480,2,5.20412016345088,0.0669897756817488,5.26919106132917,"480_2"
"13",480,3,4.96976354883575,0.0729572070205749,5.21365248834805,"480_3"
"14",480,4,5.05792466276173,0.0630325524716032,5.3077381390833,"480_4"
"15",480,5,7.38027258896266,0.102538852571174,5.19935535257787,"480_5"
"16",481,1,7.82013037299066,0.116724510439403,4.71096657681007,"481_1"
"17",481,2,5.20590119373278,0.0763165995666498,5.17835863741877,"481_2"
"18",481,3,5.146612367148,0.0781062935160749,5.14851825280753,"481_3"
"19",481,4,6.18946569399958,0.0788636256046659,4.96380967006445,"481_4"
"20",481,5,5.91555300498484,0.082042266628888,4.87909774897889,"481_5"
"21",482,1,5.21898562619375,0.0737663130890971,4.37313298934267,"482_1"
"22",482,2,7.07565313314793,0.101874766550605,4.55938109063906,"482_2"
"23",482,3,5.7727621436793,0.0802230152943547,4.86425582605087,"482_3"
"24",482,4,5.66356216641235,0.0748835745781826,4.40542276473975,"482_4"
"25",482,5,4.62660602696802,0.066625282872269,4.77402347838941,"482_5"
"26",483,1,5.94709695990688,0.0807372605093262,5.00139234488689,"483_1"
"27",483,2,5.4182763078993,0.0783032570813771,5.05661286136212,"483_2"
"28",483,3,4.2956762657704,0.0620969742055778,4.94782895266528,"483_3"
"29",483,4,5.84269042978944,0.0880950490500876,4.98917193953897,"483_4"
"30",483,5,7.18443205498163,0.107053595395925,5.07413032971303,"483_5"
"31",484,1,6.04456553742397,0.121366653423333,6.11754304317595,"484_1"
"32",484,2,6.64758252177766,0.113327914879419,5.12386857471349,"484_2"
"33",484,3,4.92570201998174,0.108266880761883,5.0454877455705,"484_3"
"34",484,4,5.615126953048,0.0868508287931637,6.27621134251382,"484_4"
"35",484,5,4.9103848612577,0.0755320999895653,4.96672793601918,"484_5"
"46",487,1,7.16135497381441,0.111014472452801,4.39015528956982,"487_1"
"47",487,2,5.03786238481819,0.0789151585271153,4.63860043301542,"487_2"
"48",487,3,4.76823716372015,0.0657702793797072,4.60094722008587,"487_3"
"49",487,4,6.64987720136891,0.1035706192608,4.59557952421407,"487_4"
"50",487,5,5.21984033285918,0.0775458421290506,4.49189410267858,"487_5"
