"qcCode","code"
"AME",3800
"AUC",1800
"AUR",1800
"BOG",1304
"BOJ",1301
"BOP",1303
"CAC",1601
"CAF",1603
"CAR",1950
"CEO",3700
"CET",2801
"CHB",2101
"CHE",2102
"CHG",2104
"CHR",2108
"CRA",3910
"EPB",105
"EPN",101
"EPO",103
"EPR",102
"ERA",1406
"ERE",1411
"ERG",1404
"ERN",1402
"ERP",1410
"ERR",1405
"ERS",1401
"FRA",3401
"FRN",3402
"FRP",3405
"HEG",2000
"MAS",3930
"MEL",602
"NOC",1701
"ORA",2201
"ORR",2202
"ORT",2203
"OSV",1900
"PEB",1203
"PED",1205
"PEG",1206
"PET",1201
"PIB",202
"PID",210
"PIG",203
"PIR",209
"PIS",211
"PRP",2802
"PRU",400
"PRV",2804
"SAB",302
"SAL",3500
"SOA",3960
"SOD",3960
"THO",701
"TIL",3000
